1000,Airbnb,Book accommodations around the world.,"San Francisco, CA, USA","W09,Consumer,Travel, Leisure and Tourism"
1001,Amplitude,Digital Analytics Platform,"San Francisco, CA, USA","W12,B2B,Analytics"
1002,Coinbase,"Buy, sell, and manage cryptocurrencies.","San Francisco, CA, USA","S12,Fintech,Banking and Exchange"
1003,DoorDash,Restaurant delivery.,"San Francisco, CA, USA","S13,Consumer,Food and Beverage"
1004,Dropbox,Backup and share files in the cloud.,"San Francisco, CA, USA","S07,B2B,Productivity"
1005,Ginkgo Bioworks,Our mission is to make biology easier to engineer.,"Boston, MA, USA","S14,Healthcare,Industrial Bio"
1006,GitLab,A complete DevOps platform delivered as a single application.,"San Francisco, CA, USA","W15,B2B,Engineering, Product and Design"
1007,Instacart,Marketplace for grocery delivery and pickup,"San Francisco, CA, USA","S12,Consumer,Food and Beverage"
1008,Momentus,The space infrastructure services company,"Santa Clara, CA, USA","S18,Industrials,Aviation and Space"
1009,Notable Labs,Personalized drug discovery for blood cancer.,"Foster City, CA, USA","W15,Healthcare,Diagnostics"
1010,PagerDuty,Real-time visibility into critical apps and services all in one place.,"San Francisco, CA, USA","S10,B2B,Engineering, Product and Design"
1011,Pardes Biosciences,We break viruses,"San Francisco, CA, USA","S20,Healthcare,Drug Discovery and Delivery"
1012,Presto,Digital meets physical for big chain restaurants,"San Carlos, CA, USA","S10,B2B,Retail"
1013,Rigetti Computing,Quantum coherent supercomputing.,"Berkeley, CA, USA","S14,Industrials,Manufacturing and Robotics"
1014,Weave,Customer communication and payments platform.,"Lehi, UT, USA","W14,B2B,Office Management"
1015,Oklo,"Emission free, always on power from advanced fission power plants.","Santa Clara, CA, USA","S14,Industrials,Energy"
1016,Matterport,Turn physical objects and environments into 3D models in seconds.,"Sunnyvale, CA, USA","W12,Consumer,Virtual and Augmented Reality"
1017,Embark Trucks,Self-driving semi trucks.,"San Francisco, CA, USA","W16,Industrials,Automotive"
1018,Lucira Health,Next generation infectious disease test kits,"Emeryville, CA, USA","W15,Healthcare,Diagnostics"
1019,Segment,"Software and APIs to collect, clean, and control customer data.","San Francisco, CA, USA","S11,B2B,Analytics"
1020,Algolia,A developer-friendly and enterprise-grade search API.,"San Francisco, CA, USA","W14,B2B,Engineering, Product and Design"
1021,Truebill,Live your best financial life,"Silver Spring, MD, USA","W16,Fintech,Consumer Finance"
1022,Twitch,A global community creating the future of live entertainment.,"San Francisco, CA, USA","W07,Consumer,Content"
1023,PlanGrid,Mobile applications for the construction industry.,"San Francisco, CA, USA","W12,Real Estate and Construction,Construction"
1024,Bellabeat,Tech-powered women's wellness.,"San Francisco, CA, USA","W14,Consumer,Consumer Electronics"
1025,Cruise,Self-driving cars.,"San Francisco, CA, USA","W14,Industrials,Automotive"
1026,Benchling,Unlocking the power of biotech with modern software for modern science,"San Francisco, CA, USA","S12,B2B"
1027,Casetext,We make the world's laws free and understandable. ,"San Francisco, CA, USA","S13,B2B,Legal"
